Bug_id,Fixing_commit_hash,commitdate
1652601,31beff2880675c29b08f11d893798c44da647ee7,2020-07-14 06:08:57 +0000
1647336,1e1856b4fe5206bdea66eca1a54a443ff91c0775,2020-07-14 14:07:50 +0000
1650340,a589afcb7d22b21d1e560583847da8c77252995d,2020-07-14 12:50:03 +0000
1608358,ff86a1d84e7b234a0eb1616a8b6cdb9ac4f87abc,2020-07-13 21:15:54 +0000
1651910,a7a193a7157cb2fe80d2f620c60150c017b541d3,2020-07-14 02:28:26 +0000
1651910,4b34ca45f774ec36e79cfa317904505480469e9d,2020-07-14 02:28:24 +0000
1652630,18668c950f9af11cefeb6314998617edf556f78d,2020-07-14 02:13:24 +0000
1616863,a1ea15806fb1fde47085643a2447905a07ee04be,2020-07-13 01:06:27 +0000
1652155,667c41d5027b98c6e930e4e3ae31a36ae1f5ffa0,2020-07-12 16:49:10 +0000
1650201,14784dc42d7994ea9fc8ff279e5f685501289d60,2020-07-10 21:45:53 +0000
1652430,7c427e698ae0979a8a7fe0a91ad53facc5f3a002,2020-07-13 15:20:36 +0000
1637776,de42c3f58682c5918636ca9237eaa1ca80ad17ea,2020-07-11 22:15:27 +0000
1637776,38cbb074297037b3c938a91b8e9f23918b04ebaf,2020-07-11 06:32:45 +0000
1651000,4ce7ac11c36ff5862dadc50cbac05f67f08869b2,2020-07-10 13:04:30 +0000
1651727,d287d441103204e8708ba8707c4ab351ccb3f176,2020-07-10 21:27:28 +0000
1651928,52f7e9ce5380820722e1cd6db05ca82539c8b63d,2020-07-10 20:45:54 +0000
1608358,b783621e6e7e5d4f1e15487aec385d7a4be6b14a,2020-07-10 10:41:02 +0000
1649168,d32b539f5119511cd44a70ba2633e12ed32fd4a8,2020-07-10 16:51:24 +0000
1649168,3445ca16f5b41d7ff11d547ab5d9f6600795e8e6,2020-07-10 16:31:46 +0000
1646958,52a799b296b3b483f67cfd89305a97adc6793caf,2020-07-10 14:14:34 +0000
1622692,e970626244302b19dc43c54406e14e9e48274435,2020-07-10 12:36:13 +0000
1651135,6dc1109534daecf9700985ffc163f08b2f434971,2020-07-10 12:36:35 +0000
1650613,2b6e82201987efee0d835f253d7d5301ab58f723,2020-07-10 11:21:14 +0000
1648839,9ec63950e7f4c23148fa31a7590ccc7f34ab6bd2,2020-07-10 01:18:50 +0000
1649407,3cdd436dd0186f8f02c2b12ac97ce6840d121e90,2020-07-08 21:11:41 +0000
1642994,3956a114337c53d9e34718cb10647ff271a925df,2020-07-09 18:31:12 +0000
1649883,51b3408314bd96fee1228b1ec7b025d23fcd17e4,2020-07-09 17:27:57 +0000
1649493,8fd10a11116a6a9cfea9f716f90cfbd7fbf19c66,2020-07-09 08:04:47 +0000
1650972,3092ad9e610556beb7a28922c05cd52dea2563c1,2020-07-09 06:46:19 +0000
1651450,37e074cdb6a1aa739a72ee43283ce0e135636c54,2020-07-08 19:21:24 +0000
1651433,50c5e799e3d34b9011ab68569b6d045f418c9f5d,2020-07-08 19:51:14 +0000
1606721,667bd111f38446d13740d3f0b22663819eca5e76,2020-07-08 22:46:28 +0000
1606721,08cdd6ddc77ccc933c38bb58e2836cceabf0bf7e,2020-07-08 22:47:11 +0000
1649591,c1c9b971d0f5668dc177e655f0c1e2bbeb85e2c0,2020-07-08 22:25:02 +0000
1645887,967178f81bf92c5c5a4374a5804f13c849d8e545,2020-07-08 14:40:29 +0000
1650945,d8e1e4a499b14aa348495951509e40f39453503d,2020-07-08 14:05:33 +0000
1642476,f278cfa05f3446148e9b71d609aadfd11f0835ac,2020-07-07 20:07:13 +0000
1640418,9020761a1a72966468e5766835e2b3ffc8c77a25,2020-07-07 18:51:04 +0000
1640418,c4f94e2e85edf7130653c2242ba285433973b059,2020-07-07 16:57:09 +0000
1648591,a8ccb677a113b88b5bf75f7305ca2642ea9617f0,2020-07-07 16:35:38 +0000
1651044,93ae761b5351dbd6e577a66b4aa8769a5197cc6f,2020-07-07 12:34:32 +0000
1646669,3991838f8d0c4c3a9c59df997815f7482e8b87f7,2020-07-07 11:37:58 +0000
1648348,ba1e98b7ca1e69814fc4a20279f19c5d2fef3f53,2020-07-07 07:38:10 +0000
1639873,bcdae74a2f33e6c08e528b4d33598cf46b430324,2020-07-06 20:41:11 +0000
1650189,8a684e84299bdbcad75198f883543eb3a7cf7dee,2020-07-06 16:26:20 +0000
1650155,3a3aed428aac90260d4b7593fd9b54920363a1a6,2020-07-03 18:03:27 +0000
1650076,c49d17f0dbc4886a0d270da675feb714ef02426e,2020-07-03 09:39:24 +0000
1650076,b14f5d4a125f96e24a8b8531e31c4c0db817047d,2020-07-03 08:08:05 +0000
