Bug_id,Fixing_commit
1000185,66992fa55eb6dee7884da95fac674d5c6d8193bb
1000185,bd0a38a9b756183b9d68f2f0bdea08c99ed34acb
1000514,153c60b2b678f33bc9758effaa3f646af19662b4
1000598,64356b36da135f1e337feb1b72edbd12b3a34667
1000960,e2e7cad0ccaeb1bb0c9718273bc7839ec507ff42
1001994,a5d6027756ae1f19046bc52ba92faec97e582e65
1002702,9dafb9b56b5c2c98bcef593b863087b8c573a41a
1005578,2ffa88afe433d54c5067a15461e4760a9ca91271
1005991,4bfaf7fd30bda1e58a1d8172717b2f881bf18d53
1007223,e08a482fcead72cabb1253b23997b52cb3fa8bc2
1009675,e394ea8b5171e449a8c2266fe71ea2a617b44624
1009675,35314cd05df3dc9f802e7ab427a442c264674cb9
1009675,72961f73cb4a1b17cb02fe4300ebe33055a85073
1009952,57b0932e2f06d564e88162558d79b263d5fde73e
1011007,57b0932e2f06d564e88162558d79b263d5fde73e
1012609,fce56d505b2e116bb1e5bd453905a9c8fa92478d
1012694,42f98b5cfcf272c0387781ce53911ea2d1c5f8c0
1013001,5df7f0bf77fc0cd57c74d8830f461599ca60d280
1013056,5c805d803e11a5cf4ddbe41158926684a1a7ff45
1015540,cf143afd302919acd3e49ff02519ae02a3e556ba
1015973,1e86f2c32f56c53670122c7f64f5e161b5efb8b4
1016519,06428c4e45c02b42200547d24d11c38af6b50062
1017616,c4876903db081647838bd629627d35e839deb9a0
1018234,cdb42fe85f9aa672e08156d034c0aa5c8838557d
1018524,109af7e5adbf140644b16fab32ff934bbf0551e1
1019684,2a0bb2357664eeea560e2f65b22a95f588087d00
1020008,cbb2e610473e33fecd11c80489b4d4756a5a1f17
1020034,e024afb9f1d955db68965ac3db7d3bfa04530571
1020041,412a7f011ebbecd33f614b1c9af5e7aea86e9358
1020205,67ea04f01522d680e4774c8a7e902342f8d657d4
1020411,f6c7cc1c3337498c501e648b2f81b9846d9e7cf0
1021240,e0789639971026d548d0652fc3bce24105e3d687
1021312,1ab8174e097f25b69c81fd9d9113014e88a7cf56
1021312,08045ba9192ff0c932fb0f7b07d937384e18036d
1021312,340e016163edcf0fb2b9c1183d4ecda7b6707cf4
1021969,9e19217a1042f52ce1f65f1d533911ac757b681d
1021969,115ea0cc4b22c9b30ff5545dc1d5f33c89cddbbe
1022773,4ef6aeac24e1a2a4e7caeba3e81b4e7803b6f664
1022773,92065bea99d228f3e251da3ca746bec35e532110
1022773,a76b54b14c7e5cf6678a1830193a0fb08da9fd8b
1022773,210a1a8bfe7d31bc246792e094d3d9485450767d
1022773,965c8f8bce9af670c3b9d4f5a8ba228bfdd1c917
1022773,3bff0ddf73b38bc3306dd33c3461d9836f23b0f0
1022773,70eab71d392b11382b1ed69afb7cabe8e2437307
1022773,635b82606806ae9276af40d6e26e6fe6eebd4c5e
1022773,073ff2d2db9c2c8ea2cd7f2ff0ad52d219e6c0ff
1022773,830b491a8fa36f617a79247eeb4773fd0a718639
1022773,d4bd5c2fdce2b30fc4aa287e6cfce19e20371664
1022773,5885dc571d0f4623e778144768aa0719b9f17973
1022773,c01a6dcd4b22cd2ae5de8a438cd6298488442971
1022773,4ef6aeac24e1a2a4e7caeba3e81b4e7803b6f664
1022945,b943bdfbf13683931e216a66c721f7f74211f7da
1022945,5248818dca057572c5ff0800bc092b5547f7a8ae
1022945,9f7a630c3e46d00619e79bbbf998f1c364a41ce2
1022945,64b8a46acd8219b5fab68f847c77ff4be1e3c107
1022945,46ae9099fd0028b5239731b3ac870931a56e1f65
1023035,000b317ce64f5352b55f56ced1907382f3bc6844
1023121,034d1469b0835c3c5715dd1aa295533bbd3d50e7
1024765,2210c3fbcf6306fac25a12a49d75ff45286ce05a
1024765,0c09da2ef5468437db4a38823c692ff5769f1a67
1025267,cb55f73763cd7838760ab747510d12e7f039f108
1026022,9c65f4d62c92ec530c05e123c95afa81c7ee6aca
1026774,d9e48e922e0d4212119d07e72fac87ea1d1aa41b
1027300,c220f15e006bddeef8c4415169a1ecb27db2d950
1027359,4e63a5bebd3f51634f0034b58628ec8cd8638c05
1028358,1fbc93b30f1682010773d2791d15f5a8fb391ee3
1028358,dd07ffb3af8246f21c891f7903c1e44ad08b1e65
1028358,c0abbe27207698f5011ff7a046d736ee55ed1c25
1028358,db3e7febe0a4dbddcbafbee44dc7e81250bbf745
1028891,9aaf15b51ff2e2d3b79dfde87fa6b24ee798a581
1030667,af98d4bb00618bf4a4ff77d9d16c410457f32775
1032208,f81a509fc014e4c9ec4fbc200535ff94152d4cbc
1032208,03f72dc8cbb1d430d370343e1ae1880f357f3c43
